Stock,Transaction Date,Buy/Sell,Type,Amount,Senator
C,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
HD,2020-04-16,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
GIS,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
BMY,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
CAT,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
BP,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
AAPL,2020-04-16,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
T,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
AFL,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
BX,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
BA,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
JNJ,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
SYY,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
URI,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
WFC,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
VZ,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
SO,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
MRK,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
PG,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
JPM,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
INTC,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
LLY,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
MSFT,2020-04-16,Sale,Stock,"$50,001 - $100,000","David a Perdue , jr"
PYPL,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
PM,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
NKE,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
NSC,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
T,2019-07-25,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
KO,2019-07-25,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
