Stock,Transaction Date,Buy/Sell,Type,Amount,Senator,Price
ADP,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,104.85429382324219
ADI,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,81.86530303955078
AMGN,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,145.62518310546875
APD,2018-04-04,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,142.55987548828125
ACN,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,138.80975341796875
ABT,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,54.3116569519043
T,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,17.23221778869629
AFL,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,38.246402740478516
UBSI,2018-04-05,Sale,Stock,"$15,001 - $50,000",Shelley m Capito,28.104290008544922
MDLZ,2018-04-04,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,37.205013275146484
WFC,2017-06-27,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,44.382328033447266
C,2017-06-27,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,52.578521728515625
C,2019-12-11,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,65.5943374633789
UPS,2023-04-04,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,187.1004638671875
MCD,2023-04-04,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,279.2879638671875
DUK,2023-04-04,Sale,Stock,"$15,001 - $50,000",Shelley m Capito,94.18976593017578
COP,2016-01-25,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,26.897348403930664
NKE,2016-01-21,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,55.67818832397461
CB,2016-01-21,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,93.60711669921875
NEE,2022-02-24,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,72.42060852050781
MSFT,2022-02-24,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,290.4767150878906
LHX,2022-02-24,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,220.0716552734375
LOW,2022-02-24,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,207.1106414794922
AAPL,2022-02-24,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,161.31883239746094
MSFT,2021-07-26,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,283.36407470703125
IBM,2021-07-26,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,122.23686218261719
INTC,2021-07-26,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,50.531097412109375
C,2021-07-26,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,62.16506576538086
USB,2017-01-30,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,41.67401885986328
SPGI,2023-09-27,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,363.05999755859375
UNH,2023-09-22,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,506.1000061035156
ACN,2023-09-22,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,314.784423828125
RTX,2023-09-21,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,72.63999938964844
USB,2023-09-01,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,36.52284240722656
UNH,2022-10-17,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,514.3080444335938
JPM,2022-10-17,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,112.50636291503906
MSFT,2022-10-17,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,235.25723266601562
LOW,2022-10-17,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,190.1979522705078
LIN,2022-10-17,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,276.97723388671875
JNJ,2022-10-17,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,161.93325805664062
BLK,2022-10-17,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,553.1759033203125
AAPL,2022-10-17,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,141.57015991210938
AFL,2022-10-17,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,58.227359771728516
WFC,2022-10-19,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,42.40024185180664
JWN,2016-11-14,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,49.104736328125
WFC,2017-06-27,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,44.3823356628418
C,2017-06-27,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,52.578521728515625
WEC,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,53.02501678466797
WMT,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,78.5367660522461
VFC,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,61.08553695678711
USB,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,40.884437561035156
MMM,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,163.70933532714844
TGT,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,61.8009147644043
SYY,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,53.893531799316406
QCOM,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,42.91827392578125
PG,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,63.147911071777344
PII,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,96.0056381225586
PSX,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,87.07402801513672
PEP,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,86.51301574707031
PAYX,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,51.00806427001953
NVS,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,57.02743148803711
NSC,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,121.33219146728516
NKE,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,63.329532623291016
NEE,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,35.80520248413086
JPM,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,93.70364379882812
MSFT,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,87.50732421875
MDT,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,69.53840637207031
MCD,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,138.364013671875
LOW,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,75.44937133789062
JNJ,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,108.85816955566406
ITW,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,130.70162963867188
GIS,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,36.75071334838867
